Input-X
Input-Y
Input-W1
Input-b1
Input-W2
Input-b2
Linear-l1
Sigmoid-s1
Linear-l2
MSE-cost
Total number of examples: 506
Epoch 242, Loss: 6.331416642990553
Epoch 243, Loss: 4.877983308297228
Epoch 244, Loss: 6.162464918753513
Epoch 245, Loss: 4.6622070942922935
Epoch 246, Loss: 4.237304828978722
Epoch 247, Loss: 5.185291598177172
Epoch 248, Loss: 5.7755833251509205
Epoch 249, Loss: 4.713651345508873
Epoch 250, Loss: 4.2923251309693855
Epoch 251, Loss: 6.001118477111476
Epoch 252, Loss: 5.798769812749544
Epoch 253, Loss: 4.791203566057067
Epoch 254, Loss: 5.526220140191424
Epoch 255, Loss: 7.195947729863137
Epoch 256, Loss: 6.218898388111963
Epoch 257, Loss: 6.10736869707485
Epoch 258, Loss: 6.512328680883045
Epoch 259, Loss: 5.362055550521704
Epoch 260, Loss: 5.584652872997889
Epoch 261, Loss: 5.486819000848703
Epoch 262, Loss: 5.978599264179723
Epoch 263, Loss: 5.208696043786933
Epoch 264, Loss: 6.154224409726596
Epoch 265, Loss: 4.382845507865313
Epoch 266, Loss: 5.9065593177095375
Epoch 267, Loss: 6.160670096262579
Epoch 268, Loss: 4.876474228765675
Epoch 269, Loss: 6.27107452070016
Epoch 270, Loss: 6.122842257954167
Epoch 271, Loss: 4.584061184646631
Epoch 272, Loss: 5.419031640125881
Epoch 273, Loss: 5.204347999728279
Epoch 274, Loss: 5.2940824463210925
Epoch 275, Loss: 6.013256361626845
Epoch 276, Loss: 5.218509659017509
Epoch 277, Loss: 5.245116330651082
Epoch 278, Loss: 7.213419301091015
Epoch 279, Loss: 5.675791765442052
Epoch 280, Loss: 5.462468349424001
Epoch 281, Loss: 5.57049609385067
Epoch 282, Loss: 6.287932376277644
Epoch 283, Loss: 5.083641728527519
Epoch 284, Loss: 4.77482033795781
Epoch 285, Loss: 5.642527341797158
Epoch 286, Loss: 4.510280222965345
Epoch 287, Loss: 5.4808680065765
Epoch 288, Loss: 6.0026132841739575
Epoch 289, Loss: 6.0607916162202935
Epoch 290, Loss: 4.7015272741493375
Epoch 291, Loss: 4.915848313377338
Epoch 292, Loss: 5.04803909192741
Epoch 293, Loss: 5.369456874558279
Epoch 294, Loss: 5.571945393871873
Epoch 295, Loss: 4.769782077246277
Epoch 296, Loss: 6.1738494063106275
Epoch 297, Loss: 4.581998440934226
Epoch 298, Loss: 4.729687390595672
Epoch 299, Loss: 4.355883642723453
Epoch 300, Loss: 5.917118613422252
Epoch 301, Loss: 5.400800483269615
Epoch 302, Loss: 5.091857468631092
Epoch 303, Loss: 5.687603925243351
Epoch 304, Loss: 4.586252392742365
Epoch 305, Loss: 5.9507294520556036
Epoch 306, Loss: 5.156539961941279
Epoch 307, Loss: 4.940431035670547
Epoch 308, Loss: 4.745357451758198
Epoch 309, Loss: 4.483719657680477
Epoch 310, Loss: 6.166094216432309
Epoch 311, Loss: 6.186960187124511
Epoch 312, Loss: 5.352706601700732
Epoch 313, Loss: 4.039904694645938
Epoch 314, Loss: 5.736218368594116
Epoch 315, Loss: 5.666167791977287
Epoch 316, Loss: 4.387027936419597
Epoch 317, Loss: 4.8220727075918575
Epoch 318, Loss: 5.1262819754154645
Epoch 319, Loss: 6.225271764322997
Epoch 320, Loss: 4.596703793683312
Epoch 321, Loss: 5.537187983827648
Epoch 322, Loss: 6.102145562987971
Epoch 323, Loss: 4.340891922099831
Epoch 324, Loss: 5.872067996744354
Epoch 325, Loss: 5.164470856807934
Epoch 326, Loss: 5.596728656211215
Epoch 327, Loss: 5.793828404385007
Epoch 328, Loss: 4.316611294205901
Epoch 329, Loss: 5.68584486527171
Epoch 330, Loss: 5.218586848605085
Epoch 331, Loss: 4.239105689604396
Epoch 332, Loss: 4.156145715937028
Epoch 333, Loss: 6.540269165711582
Epoch 334, Loss: 5.748671317976964
Epoch 335, Loss: 5.44139855472464
Epoch 336, Loss: 5.098971555643475
Epoch 337, Loss: 5.902321328538091
Epoch 338, Loss: 6.348310711497002
Epoch 339, Loss: 5.466130531841726
Epoch 340, Loss: 5.1428248055385115
Epoch 341, Loss: 5.960255547580329
Epoch 342, Loss: 5.917898998620612
Epoch 343, Loss: 4.560757196137617
